Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order ID
COINBASE:ADAUSD,Sell,Stop Loss,43,0.5797,0.5796,Filled,,2024-04-10 12:08:02,2024-04-11 08:29:17,1268012008
BINANCE:SOLUSDT,Sell,Market,0.5,168.97,168.97,Filled,,2024-04-10 14:53:13,2024-04-10 14:53:13,1268340577
BINANCE:SOLUSDT,Sell,Stop Loss,0.5,168.29,,Cancelled,,2024-04-10 12:32:00,2024-04-10 14:53:13,1268054534
BINANCE:SOLUSDT,Buy,Limit,0.5,168.29,168.29,Filled,,2024-04-10 12:32:00,2024-04-10 12:33:24,1268054533
COINBASE:ADAUSD,Buy,Limit,43,0.5737,0.5737,Filled,,2024-04-10 12:08:02,2024-04-10 12:10:49,1268012007
COINBASE:ADAUSD,Sell,Stop Loss,41,0.592,0.5917,Filled,,2024-04-09 13:47:03,2024-04-09 19:25:36,1266347203
COINBASE:ADAUSD,Buy,Limit,41,0.6035,0.602,Filled,,2024-04-09 13:47:03,2024-04-09 13:47:03,1266347202
BINANCE:ARBUSDT,Sell,Stop Loss,15,1.4541,1.4538,Filled,,2024-03-22 22:27:51,2024-04-02 04:51:48,1240040185
BINANCE:ARBUSDT,Buy,Limit,15,1.6113,1.6102,Filled,,2024-03-22 22:27:51,2024-03-22 22:27:51,1240040184
BINANCE:FTMUSD.P,Sell,Stop Loss,23.24,0.8455,0.8458,Filled,,2024-03-16 21:24:21,2024-03-17 20:07:16,1228523673
BINANCE:FTMUSD.P,Sell,Limit,8,0.8841,0.8847,Filled,,2024-03-17 15:15:52,2024-03-17 15:15:52,1229397238
BINANCE:FTMUSD.P,Buy,Limit,31.24,0.8028,0.8022,Filled,,2024-03-16 21:22:06,2024-03-16 21:22:06,1228522468
BINANCE:FTMUSD.P,Buy,Limit,31.24,0.8002,,Cancelled,,2024-03-16 21:21:39,2024-03-16 21:21:53,1228522201
COINBASE:DNTUSD,Sell,Market,628,0.0412,0.0412,Filled,,2024-03-07 13:01:54,2024-03-07 13:01:54,1212494213
COINBASE:DNTUSD,Sell,Stop Loss,628,0.0315,,Cancelled,,2024-03-02 12:53:00,2024-03-07 13:01:54,1202448936
COINBASE:BONKUSD,Buy,Market,661375,0.00002992,0.00002992,Filled,,2024-03-05 16:11:05,2024-03-05 16:11:05,1208376026
COINBASE:BONKUSD,Buy,Stop Loss,661375,0.00003432,,Cancelled,,2024-03-05 14:14:56,2024-03-05 16:11:05,1208119689
COINBASE:ABTUSD,Sell,Stop Loss,13,1.5997,1.5997,Filled,,2024-02-29 22:11:08,2024-03-05 15:02:02,1199498815
COINBASE:BONKUSD,Sell,Limit,661375,0.00003024,0.00003026,Filled,,2024-03-05 14:13:59,2024-03-05 14:13:59,1208117422
COINBASE:SHIBUSD,Sell,Market,608642,0.00004218,0.00004218,Filled,,2024-03-04 21:38:18,2024-03-04 21:38:18,1206223694
COINBASE:SHIBUSD,Sell,Stop Loss,608642,0.00002722,,Cancelled,,2024-03-04 16:23:01,2024-03-04 21:38:18,1205963924
COINBASE:CROUSD,Buy,Market,100,0.1419,0.1419,Filled,,2024-03-04 16:42:24,2024-03-04 16:42:24,1205981072
